room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
3648211,17747790,Entire home/apt,,Migeun-dong,0,,2,1,90,1,37.56434,126.96722,11:05.5
2250900,11496585,Private room,,Yeonnam-dong,1,,2,1,56,1,37.560098,126.920379,10:39.2
13074200,2304707,Entire home/apt,,Seogye-dong,0,,15,3,199,1,37.554405,126.96661,10:23.1
3970850,17099147,Entire home/apt,,Bongnae-dong 2(i)-ga,41,4,4,0,43,1,37.555074,126.971884,10:13.9
6454586,33172468,Private room,,Sincheon-dong,7,5,4,1,36,1,37.511699,127.104638,10:05.9
7010615,36750810,Shared room,,Daehyeon-dong,4,4.5,1,1,18,1,37.557276,126.945941,09:58.3
6857653,35936929,Entire home/apt,,Malli-dong 1(il)-ga,1,,4,1,103,2,37.554942,126.967724,09:35.1
11578474,24643012,Entire home/apt,,Sillim-dong,2,,1,1,27,2,37.477017,126.938364,09:19.0
10094915,13797249,Entire home/apt,,Donggyo-dong,21,5,6,3,144,3,37.557663,126.928229,09:07.2
5007555,25616525,Private room,,Namdaemunno 5(o)-ga,1,,1,1,47,1,37.555439,126.975562,09:03.3
5798316,30027647,Shared room,,Seogyo-dong,16,4.5,1,1,11,1,37.549219,126.920842,08:53.5
7356823,38544373,Private room,,Deungchon-dong,0,,2,1,23,1,37.564876,126.842239,08:50.2
4917937,25329542,Private room,,Bon-dong,18,5,2,1,30,3,37.508223,126.950934,08:44.9
7249992,37962661,Private room,,Yeoksam-dong,3,5,1,1,53,1,37.502728,127.040584,08:08.3
4761018,24221128,Shared room,,Cheongdam-dong,21,5,1,1,33,1,37.521498,127.058585,08:00.7
13083112,7617310,Shared room,,Donggyo-dong,0,,4,1,15,2,37.556075,126.929417,07:36.4
9565056,49520508,Shared room,,Sinsa-dong,15,4.5,1,1,18,,37.520333,127.026083,07:33.2
12609981,62357050,Entire home/apt,,Samseong-dong,0,,2,0,65,3,37.50877,127.056816,07:23.5
5366102,22261535,Shared room,,Donggyo-dong,1,,8,1,13,1,37.559655,126.923619,07:20.2
9393774,44040225,Entire home/apt,,Chang-dong,6,5,4,1,52,1,37.652834,127.046689,07:16.9
12104854,64906454,Entire home/apt,,Insa-dong,4,5,4,0,77,1,37.570856,126.986477,07:06.8
8165769,43045387,Entire home/apt,,Banghwa-dong,19,5,2,1,38,2,37.567802,126.817337,07:04.5
9979375,38409743,Shared room,,Sinsa-dong,2,,1,1,28,1,37.521806,127.024223,06:53.9
5889533,22261535,Shared room,,Yeonnam-dong,0,,1,1,10,1,37.560474,126.923738,06:28.7
12279184,35608851,Entire home/apt,,Nonhyeon-dong,4,5,3,2,69,3,37.513035,127.027691,06:05.5
12855580,66989533,Entire home/apt,,Seocho-dong,1,,2,1,69,1,37.502378,127.023117,05:45.6
7765370,7633775,Entire home/apt,,Yeoksam-dong,4,5,3,1,100,2,37.508856,127.042962,05:39.3
3732286,9116568,Shared room,,Seogyo-dong,2,,4,1,22,1,37.554101,126.927187,05:36.7
3062443,5778993,Entire home/apt,,Banpo-dong,3,4.5,2,1,94,5,37.504469,127.021286,05:19.3
1129079,5929676,Shared room,,Hapjeong-dong,37,4.5,4,1,13,1,37.549472,126.911933,05:10.3
10297392,24221128,Shared room,,Samseong-dong,0,,2,1,60,1,37.518831,127.063389,05:07.1
9303687,24686239,Shared room,,Seogyo-dong,3,5,1,1,11,1,37.557059,126.912161,05:03.9
12277007,44212936,Entire home/apt,,Yeonhui-dong,2,,2,0,43,2,37.563916,126.9276,05:01.4
6239597,25931841,Entire home/apt,,Seocho-dong,16,5,3,1,63,5,37.495378,127.02776,05:18.6
6516510,27319169,Private room,,Changjeon-dong,39,5,3,1,38,3,37.546482,126.93103,05:10.2
12071949,5947704,Shared room,,Itaewon-dong,0,,6,1,14,2,37.536019,126.989976,04:54.8
8620318,38816130,Entire home/apt,,Yeoksam-dong,4,4.5,4,1,53,1,37.498921,127.028552,04:50.9
2748189,14059196,Private room,,Jangchung-dong 2(i)-ga,16,4.5,2,1,36,2,37.5529,126.997324,04:18.8
10460290,49195043,Private room,,Muk-dong,0,,1,1,104,1,37.612698,127.074001,04:13.0
10297174,24221128,Shared room,,Samseong-dong,0,,1,1,33,1,37.518859,127.063917,03:52.5
1434776,7711130,Entire home/apt,,Chungmuro 2(i)-ga,41,5,4,0,50,1,37.561281,126.9904,03:37.9
9815219,49713544,Shared room,,Seogyo-dong,4,5,4,1,20,1,37.55576,126.927645,03:29.6
8776165,8669093,Entire home/apt,,Banpo-dong,9,5,4,2,89,3,37.504774,127.022085,03:06.6
8818106,36101719,Shared room,,Seobinggo-dong,0,,4,1,61,1,37.521373,126.990606,02:51.6
820163,4212709,Private room,,Namsan-dong 2(i)-ga,35,4.5,3,1,50,1,37.559527,126.985497,02:49.5
6135266,12434376,Entire home/apt,,Sinchon-dong,28,4.5,8,2,110,1,37.568151,126.942661,02:35.9
10010172,8793000,Private room,,Cho-dong,4,4,1,1,22,5,37.563958,126.993273,02:31.8
11214404,49305191,Private room,,Gwanghui-dong 2(i)-ga,3,5,3,1,46,1,37.56396,127.008609,01:48.6
9304059,7711130,Entire home/apt,,Myeong-dong 2(i)-ga,7,5,5,0,73,1,37.56334,126.987183,01:41.8
8894058,23895215,Private room,,Changcheon-dong,11,4.5,2,1,26,1,37.556292,126.936933,01:37.7
305837,1446422,Private room,,Jayang-dong,11,5,2,1,80,1,37.535976,127.073572,01:27.1
11387252,59722427,Private room,,Ssangmun-dong,0,,2,1,34,1,37.655717,127.032181,01:04.1
7232055,30677554,Private room,,Seogyo-dong,28,4.5,2,1,40,1,37.554289,126.928397,00:18.8
11677000,26079721,Private room,,Hyoje-dong,0,,2,1,28,3,37.572818,127.003585,00:14.5
5241999,1424507,Entire home/apt,,Yeoksam-dong,15,5,3,0,60,4,37.498267,127.034224,00:11.6
9868179,37007548,Private room,,Yeoksam-dong,1,,1,1,26,3,37.493372,127.042334,59:54.1
570182,2805812,Shared room,,Seogyo-dong,20,4,16,1,13,2,37.554222,126.926841,59:51.1
4788069,24682306,Shared room,,Itaewon-dong,10,4,8,1,14,1,37.533221,126.994136,59:48.5
9099107,47438729,Private room,,Bangbae-dong,0,,1,1,43,1,37.476649,126.992948,59:46.0
11002617,12074192,Entire home/apt,,Daehyeon-dong,0,,1,1,1030,1,37.558835,126.947296,59:28.2
8729623,20413724,Entire home/apt,,Dongja-dong,17,4.5,7,2,64,2,37.55381,126.970419,59:22.4
8808806,23895215,Private room,,Nogosan-dong,8,4.5,1,1,20,1,37.556073,126.933355,59:10.9
3015966,15370021,Shared room,,Itaewon-dong,1,,4,1,21,1,37.533896,126.995684,58:47.3
11107376,57699598,Entire home/apt,,Sungin-dong,5,5,2,0,52,2,37.571175,127.017561,58:41.9
6631627,34710885,Private room,,Jingwan-dong,0,,2,1,35,1,37.642616,126.929903,58:34.5
9139534,15979981,Private room,,Sinsa-dong,2,,2,1,27,2,37.52791,127.038296,58:23.2
9081290,22261535,Private room,,Donggyo-dong,0,,2,1,31,1,37.558562,126.925419,58:00.1
11280890,12367785,Entire home/apt,,Yeongeon-dong,5,4,4,2,73,2,37.580035,127.001622,57:56.7
5470564,22261535,Private room,,Seogyo-dong,0,,7,1,53,1,37.556422,126.918369,57:45.7
10416276,17605976,Private room,,Donggyo-dong,9,4.5,2,1,39,1,37.556176,126.929169,57:40.2
10596795,3465480,Entire home/apt,,Sillim-dong,0,,2,0,26,10,37.465731,126.937198,57:15.4
6294153,32538050,Entire home/apt,,Ogin-dong,6,5,10,3,157,1,37.582694,126.970227,57:08.2
7300436,10267535,Private room,,Bogwang-dong,24,5,3,1,22,2,37.52727,126.99819,56:52.0
9756601,5367627,Entire home/apt,,Huam-dong,6,5,3,2,80,2,37.549909,126.97753,56:49.2
7741105,36116719,Entire home/apt,,Jamwon-dong,10,5,2,0,68,2,37.516207,127.017788,56:45.3
9980124,21219045,Shared room,,Donggyo-dong,0,,3,1,12,1,37.556227,126.931097,56:42.1
10422343,47839372,Entire home/apt,,Gyeongun-dong,13,5,2,1,52,2,37.575495,126.986578,56:33.7
3885564,19552957,Private room,,Namsan-dong 2(i)-ga,30,4.5,1,1,30,1,37.55691,126.985511,55:58.9
4041686,19929920,Shared room,,Yeonnam-dong,1,,4,1,94,1,37.562178,126.924192,55:42.4
7013520,6735364,Private room,,Jungnim-dong,1,,1,1,35,1,37.55891,126.968004,55:39.7
6561371,31627642,Shared room,,Itaewon-dong,0,,1,1,19,1,37.536083,126.992915,55:24.5
5526334,28661398,Entire home/apt,,Sillim-dong,5,4.5,16,0,43,1,37.475779,126.936513,55:21.0
10238560,49520508,Shared room,,Sinsa-dong,1,,1,1,18,,37.520572,127.025272,55:17.0
11658850,54703230,Entire home/apt,,Yeonhui-dong,0,,1,0,35,1,37.571799,126.925849,54:55.9
9584329,47674856,Private room,,Yeokchon-dong,0,,1,1,26,1,37.604162,126.911434,54:34.6
5612942,9181390,Entire home/apt,,Myeongnyun 3(sam)-ga,0,,7,2,122,1,37.583438,126.996985,54:32.2
12333911,48608324,Entire home/apt,,Bongnae-dong 2(i)-ga,3,5,2,1,74,1,37.554886,126.970008,54:26.6
6933391,11255784,Entire home/apt,,Sinseol-dong,14,4.5,5,0,71,2,37.574286,127.025873,54:11.5
9675006,10311730,Shared room,,Yeonnam-dong,0,,1,1,13,1,37.56616,126.921703,54:05.3
6900607,21356217,Entire home/apt,,Yeonnam-dong,5,5,2,1,75,2,37.563075,126.924432,53:43.0
3900353,19552957,Private room,,Namsan-dong 1(il)-ga,23,4.5,2,1,47,1,37.558629,126.984134,53:29.3
1240939,6744878,Shared room,,Sangsu-dong,0,,4,1,22,1,37.551066,126.927322,53:26.4
10144175,25869728,Entire home/apt,,Yeoksam-dong,17,5,3,0,75,2,37.49848,127.027825,53:19.5
10531063,3934180,Entire home/apt,,Hannam-dong,0,,2,1,55,1,37.542969,127.003652,52:51.4
7621094,37007548,Private room,,Yeoksam-dong,3,4,1,1,26,3,37.492919,127.040463,52:28.7
3863385,15143113,Shared room,,Itaewon-dong,5,5,4,1,15,1,37.533008,126.993103,52:24.5
6940644,36394511,Shared room,,Daehyeon-dong,1,,1,1,21,1,37.55839,126.944412,52:02.7
3732324,9116568,Shared room,,Changjeon-dong,3,4,4,1,22,1,37.553085,126.926704,52:00.5
5852968,27150992,Private room,,Hannam-dong,34,5,2,1,33,1,37.533303,127.010314,51:51.7
10420880,41515785,Private room,,Donam-dong,0,,1,1,40,1,37.594396,127.009336,51:07.3
6674130,27619578,Entire home/apt,,Hoehyeon-dong 1(il)-ga,13,5,2,0,45,2,37.558999,126.981072,51:01.4
7393278,38677273,Entire home/apt,,Sungin-dong,31,5,4,0,50,2,37.573722,127.022399,50:58.4
12320335,26326275,Entire home/apt,,Dongsung-dong,1,,2,0,53,1,37.583753,127.004358,50:39.0
4893102,11677529,Private room,,Donggyo-dong,1,,3,1,53,1,37.55735,126.928776,49:41.4
11829056,55933887,Private room,,Nonhyeon-dong,4,4.5,2,1,24,1,37.511338,127.029854,49:09.9
8119883,41974491,Private room,,Jungnim-dong,0,,1,1,43,1,37.560665,126.966692,48:53.8
13063799,29544267,Private room,,Changcheon-dong,0,,1,1,11,7,37.556461,126.934814,48:50.3
11136894,41225501,Entire home/apt,,Yeoksam-dong,10,5,4,0,78,2,37.496992,127.028275,48:46.9
6595666,17597891,Entire home/apt,,Dogok-dong,22,4.5,3,1,69,2,37.487577,127.033698,48:18.6
7615808,39826903,Entire home/apt,,Itaewon-dong,36,5,6,2,78,1,37.533839,126.993698,48:06.3
7638166,15125881,Entire home/apt,,Donggyo-dong,54,5,3,1,64,2,37.557632,126.92397,48:02.3
